
2,DI Central Inbound 850dvsin,06-06-2024 18 10 24,FluentFTP.FtpException: Error while creating directories. See InnerException for more info. ---> System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\in\dvs'   at System.IO.FileSystem.CreateDirectory(String fullPath Byte[] securityDescriptor)   at System.IO.Directory.CreateDirectory(String path)   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   --- End of inner exception stack trace ---   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   at FluentFTP.FtpClient.DownloadFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress)   at FTPHandlerService.FtpRequestProcessor.DownloadFilesAndSaveToDirectory(String FtpHost String FtpUser String FtpPassword String FtpDirectory String FileExtension String DownloadTo Boolean DeleteFilesAfterDownload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 271
3,DI Central - Sxe60 856out,06-06-2024 18 10 26,Failed
4,Di Central - Sxe60 857out,06-06-2024 18 10 28,Failed
5,DI Central - Sxe60 855out,06-06-2024 18 10 29,Failed
6,DI Central - Sxe60 846out,06-06-2024 18 10 29,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\out\846'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
7,OOCL - OOCL Post Advice,06-06-2024 18 10 33,File Not found.
9,OOCL - Sxe60 850out OOCL,06-06-2024 18 10 36,Failed
10,3PL - ShippingOrdersOW_out,06-06-2024 18 10 36,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
12,Regal - ShippingOrdersREGA_out,06-06-2024 18 10 41,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
14,DI Central - Sxe60 810out,06-06-2024 18 10 51,Failed
